pred_fun,sim_fun,k1,k2,lmb,lev_th,mean_err,std_err,max_err,mean_time
recursivePred,pearsonSimilarity,20,5,0.1,1,0.40194033945956603,0.33524502697704983,1.4102943034247404,0.9037395620346069
recursivePred,pearsonSimilarity,20,5,0.2,1,0.4034535714277025,0.33660780813455915,1.431520366080739,0.9035071659088135
recursivePred,pearsonSimilarity,20,5,0.30000000000000004,1,0.4103624960887665,0.3360422248264538,1.4509979086104101,0.922042121887207
recursivePred,pearsonSimilarity,20,5,0.4,1,0.415965713118988,0.3383905659703894,1.468934438569483,0.9091766357421875
recursivePred,pearsonSimilarity,20,5,0.5,1,0.420514475877408,0.34227379740623065,1.4855058780750294,0.8835183811187745
recursivePred,pearsonSimilarity,20,5,0.6000000000000001,1,0.42429461794767964,0.3468823124652208,1.500862353161322,0.8812985610961914
recursivePred,pearsonSimilarity,20,5,0.7000000000000001,1,0.42749218844222364,0.3517862921659326,1.5151327547940907,0.8824885416030884
recursivePred,pearsonSimilarity,20,5,0.8,1,0.43023488550740974,0.3567497712364524,1.5284283652152362,0.8795227813720703
recursivePred,pearsonSimilarity,20,5,0.9,1,0.43261398058004474,0.3616421155436722,1.5408457656988022,0.8790871381759644
recursivePred,pearsonSimilarity,20,5,1.0,1,0.4346968373138961,0.36639217803602525,1.55246918653343,0.8853988742828369
